ts,ready_replicas,keda_metric,cpu_pct
17:12:16,1,968m,
17:12:21,1,968m,
17:12:27,1,968m,
17:12:32,1,84865m,
17:12:38,1,84865m,
17:12:45,1,84865m,
17:12:50,1,204657m,457
17:12:57,2,204657m,457
17:13:04,2,193703m,486
17:13:11,2,193703m,486
17:13:17,2,228260m,486
17:13:25,4,228260m,486
17:13:34,4,140616m,346
17:13:40,4,140616m,346
17:13:45,4,140616m,346
17:13:51,4,150419m,283
17:13:57,4,150419m,283
17:14:03,4,150419m,283
17:14:09,4,165725m,149
17:14:15,4,165725m,149
17:14:21,4,171500m,167
17:14:26,4,171500m,167
17:14:33,4,171500m,167
17:14:41,4,180886m,152
17:14:49,4,180886m,152
17:15:04,4,187062m,152
17:15:18,4,189230m,104
17:15:23,4,189230m,104
17:15:29,4,189230m,104
17:15:35,4,192524m,142
17:15:41,4,192524m,142
17:15:47,4,177882m,153
17:15:52,4,177882m,153
17:15:58,4,177882m,153
17:16:04,4,148257m,238
17:16:10,4,148257m,238
