ts,ready_replicas,keda_metric,cpu_pct
20:09:20,4,0,1
20:09:25,4,0,1
20:09:31,4,12705m,1
20:09:37,4,12705m,1
20:09:42,4,12705m,1
20:09:48,4,200721m,58
20:09:54,4,200721m,58
20:10:00,4,200721m,58
20:10:06,4,199732m,123
20:10:12,4,199732m,123
20:10:19,4,200427m,172
20:10:25,4,200427m,172
20:10:30,4,200427m,172
20:10:36,4,200056m,141
20:10:42,4,200056m,141
20:10:47,4,200056m,141
20:10:53,4,200041m,157
20:11:00,4,200041m,157
20:11:06,4,199964m,105
20:11:12,4,199964m,105
20:11:17,4,199964m,105
20:11:23,4,200342m,126
20:11:29,4,200342m,126
20:11:34,4,200342m,126
20:11:42,4,200082m,154
20:11:48,4,200082m,154
20:11:54,4,200145m,142
20:12:02,4,200145m,142
20:12:08,4,200145m,142
20:12:14,4,201124m,136
20:12:20,4,201124m,136
20:12:26,4,199738m,115
20:12:32,4,199738m,115
20:12:38,4,199738m,115
20:12:44,4,191687m,168
20:12:50,4,191687m,168
20:12:56,4,6508m,212
20:13:01,4,6508m,212
20:13:07,4,6508m,212
20:13:12,4,6508m,63
