run,replicas,athletes,target_rate_msg_s,offered,delivered,loss_pct,consumed,acked,write_errors,thr_acked_s,lat_transport_mean_ms,lat_transport_p95_ms,lat_transport_p99_ms,lat_transport_p95worst_ms,lat_persist_mean_ms,lat_persist_p95_ms,lat_persist_p99_ms,lat_persist_p95worst_ms,cpu_peak_m,cpu_mean_m,mem_peak_mi,mem_mean_mi
R1_N16,1,16,800,63990,49066,23.32,43229,43087,0,538.2,12862.03,13522.15,13606.01,26144.57,534.86,791.37,959.75,954.53,858.0,683.7,35.0,35.0
R1_N24,1,24,1200,96000,32781,65.85,37217,36827,0,409.0,26304.45,34209.83,34953.42,40880.04,878.31,1640.5,1882.16,2438.8,899.0,601.8,36.0,35.2
R1_N32,1,32,1600,127721,24128,81.11,26696,26720,0,296.5,35582.78,42251.91,42829.6,69532.26,1657.03,4726.4,5459.48,8572.3,845.0,524.0,36.0,35.3
R1_N4,1,4,200,15885,15868,0.11,15885,15868,0,198.2,141.98,149.75,163.76,372.66,361.12,582.05,610.62,789.46,390.0,256.0,34.0,34.0
R1_N8,1,8,400,32007,31979,0.09,32007,31979,0,399.3,152.76,170.87,190.62,187.92,409.75,647.14,687.49,708.61,556.0,478.3,35.0,34.7
R2_N16,2,16,800,63990,63735,0.4,61773,61458,0,746.3,3507.56,1931.03,1974.86,12144.28,1618.52,2345.6,3121.65,14887.2,1374.0,1140.5,71.0,70.2
R2_N24,2,24,1200,96000,64546,32.76,60989,60327,0,653.6,20738.7,22125.55,22370.51,41807.42,2031.4,4419.21,4635.29,12647.41,1308.0,1090.4,71.0,71.0
R2_N32,2,32,1600,127721,40668,68.16,43494,43616,0,472.7,39514.31,38986.04,39545.12,70451.12,3136.97,3133.64,3281.55,11140.37,1788.0,902.3,71.0,70.6
R2_N4,2,4,200,15885,15827,0.37,15885,15827,0,192.4,181.13,184.36,197.19,208.84,2822.02,2727.23,2855.76,18446.75,833.0,530.0,69.0,66.5
R2_N8,2,8,400,32007,31833,0.54,32007,31833,0,386.5,183.05,204.07,234.84,484.01,1840.62,2149.52,3106.66,12204.87,900.0,708.0,69.0,69.0
R4_N16,4,16,800,63990,63219,1.2,62576,61598,0,683.7,5782.5,5911.45,5999.6,11130.39,3662.45,2689.08,2963.46,25690.14,1472.0,1168.5,141.0,141.0
R4_N24,4,24,1200,96000,54260,43.48,40709,39609,0,433.0,35113.7,33233.48,33375.61,58360.55,6444.54,6186.08,6753.45,25512.71,1474.0,940.6,143.0,142.1
R4_N32,4,32,1600,127721,30734,75.94,40370,40263,0,421.4,69503.62,74064.51,74355.77,105461.7,7754.69,6367.64,6481.38,39195.3,2193.0,871.4,144.0,143.2
R4_N4,4,4,200,15885,15804,0.51,18424,18566,0,219.6,4663.46,136.32,143.84,37081.28,6125.43,2916.34,3001.22,29202.36,1277.0,861.2,142.0,127.7
R4_N8,4,8,400,32007,31735,0.85,32013,31745,0,369.9,155.84,177.6,207.8,221.21,4809.75,2143.18,2268.35,33142.7,1031.0,865.8,141.0,141.0
