run,replicas,athletes,target_rate_msg_s,offered,delivered,loss_pct,consumed,acked,write_errors,thr_acked_s,lat_transport_mean_ms,lat_transport_p95_ms,lat_transport_p99_ms,lat_transport_p95worst_ms,lat_persist_mean_ms,lat_persist_p95_ms,lat_persist_p99_ms,lat_persist_p95worst_ms,cpu_peak_m,cpu_mean_m,mem_peak_mi,mem_mean_mi
R1_N1,1,1,50,3942,3942,0.0,3942,3942,0,37.0,80.07,84.02,89.03,94.79,2621.03,1969.0,1994.34,65518.97,104.0,83.2,35.0,35.0
R1_N16,1,16,800,63501,53709,15.42,52111,51894,0,562.3,9866.59,10096.44,10127.82,18822.93,752.41,1011.95,1054.51,7531.74,914.0,762.8,35.0,35.0
R1_N2,1,2,100,7879,7872,0.09,7879,7872,0,81.3,90.55,85.37,93.99,1110.39,1079.84,1253.12,1288.16,6667.24,216.0,152.6,35.0,34.8
R1_N24,1,24,1200,95317,41891,56.05,47572,47313,0,481.3,20136.11,20694.19,20712.78,24761.63,896.01,1272.58,1326.89,1851.93,911.0,708.7,35.0,35.0
R1_N32,1,32,1600,127371,11667,90.84,16306,16340,0,162.8,55517.24,48981.06,49106.34,88034.23,1974.2,4028.45,4086.45,6776.0,821.0,332.2,35.0,35.0
R1_N4,1,4,200,15786,15768,0.11,15786,15768,0,170.2,108.34,85.71,94.61,1554.01,793.35,968.32,992.98,13240.74,332.0,284.4,35.0,35.0
R1_N40,1,40,2000,159471,4312,97.3,9034,9332,0,92.9,82350.12,66074.29,66146.6,104688.2,3214.38,6605.58,6669.68,8117.02,462.0,188.8,35.0,35.0
R1_N8,1,8,400,31551,31498,0.17,31551,31498,0,341.4,81.45,91.95,104.39,148.39,654.73,886.84,917.23,5902.02,610.0,489.1,35.0,35.0
R2_N1,2,1,50,3942,3933,0.23,4140,4395,0,42.0,773.45,65.88,70.25,15717.32,6283.52,1004.6,1037.38,15824.56,700.0,276.1,73.0,66.2
R2_N16,2,16,800,63501,63309,0.3,63380,63108,0,616.4,4171.04,540.09,556.75,14712.45,1124.9,1516.57,1590.49,9580.13,1246.0,1038.8,73.0,73.0
R2_N2,2,2,100,7879,7875,0.05,7879,7875,0,75.4,61.32,64.7,71.03,153.38,4122.24,6389.78,6456.85,19016.65,248.0,214.7,73.0,73.0
R2_N24,2,24,1200,95317,49379,48.19,46682,46228,0,459.6,28006.72,27415.83,27512.97,65564.17,1802.22,2327.25,2400.66,10546.83,1246.0,931.7,73.0,73.0
R2_N32,2,32,1600,127371,15568,87.78,23854,23636,0,239.8,63117.69,59444.08,59550.12,92018.18,3393.28,5552.84,5639.24,9293.05,1318.0,696.9,74.0,73.3
R2_N4,2,4,200,15786,15758,0.18,15786,15758,0,150.8,62.6,70.48,77.78,142.03,2280.37,3838.31,3872.18,12080.05,417.0,356.6,73.0,73.0
R2_N40,2,40,2000,159471,4915,96.92,14074,14253,0,139.2,86282.94,89630.82,89705.86,117062.01,6088.24,9437.49,9501.4,12638.07,915.0,414.1,74.0,73.4
R2_N8,2,8,400,31551,31485,0.21,31551,31485,0,317.4,73.03,74.49,80.08,1399.13,1396.79,2122.65,2154.28,10090.3,817.0,631.1,73.0,73.0
R4_N1,4,1,50,3942,3937,0.13,10607,11052,0,104.7,37631.22,63.75,64.34,104968.28,6515.28,1005.97,1040.69,50420.27,2103.0,548.7,140.0,132.9
R4_N16,4,16,800,63501,62916,0.92,62567,61230,0,604.0,7890.86,7807.69,7830.62,16368.72,2636.2,2623.69,2773.0,15020.43,1290.0,1094.2,142.0,141.0
R4_N2,4,2,100,7879,7879,0.0,7879,7879,0,74.7,47.71,58.92,62.46,123.83,12773.69,5792.53,5800.5,55380.46,294.0,230.6,140.0,139.2
R4_N24,4,24,1200,95317,46698,51.01,41366,40516,0,400.5,38158.98,33953.85,34018.79,62416.93,4660.67,5110.09,5212.59,12777.63,1588.0,982.1,142.0,141.3
R4_N32,4,32,1600,127371,3709,97.09,28607,28673,0,282.3,94897.63,97751.01,97790.84,128355.09,7333.86,10374.77,10423.95,24940.84,1507.0,722.7,142.0,141.1
R4_N4,4,4,200,15786,15740,0.29,15786,15740,0,158.7,45.56,59.09,60.93,109.45,6029.62,8852.04,8889.26,30016.7,572.0,408.7,140.0,139.3
R4_N40,4,40,2000,159471,353,99.78,24390,24509,0,208.7,142265.5,151273.23,151377.99,179490.37,10544.2,13302.33,13367.93,31803.31,1506.0,589.7,142.0,141.1
R4_N8,4,8,400,31551,31399,0.48,31551,31399,0,308.6,48.75,64.84,72.59,356.94,3439.69,4830.26,4857.26,18140.1,856.0,753.8,141.0,139.8
