ts,ready_replicas,keda_metric,cpu_pct
14:09:05,1,227470m,
14:09:11,1,227470m,
14:09:16,1,227470m,
14:09:22,1,264663m,
14:09:28,1,264663m,
14:09:35,1,400947m,59
14:09:42,1,400947m,59
14:09:47,1,400947m,59
14:09:52,2,475580m,91
14:09:58,2,475580m,91
14:10:04,2,279843m,100
14:10:09,2,279843m,100
14:10:15,2,279843m,100
14:10:21,2,310908m,99
14:10:27,3,310908m,99
14:10:33,3,310908m,99
14:10:38,3,218062m,99
14:10:44,3,218062m,99
14:10:49,3,218062m,99
14:10:55,3,230704m,99
14:11:00,3,230704m,99
14:11:06,3,230704m,99
14:11:11,3,240025m,100
14:11:17,3,240025m,100
14:11:23,3,240025m,100
14:11:28,3,244828m,100
14:11:34,4,244828m,100
14:11:39,4,187869m,93
14:11:45,4,187869m,93
14:11:51,4,187869m,93
14:11:57,4,191001m,91
14:12:02,4,191001m,91
14:12:08,4,191001m,91
14:12:14,4,192597m,99
14:12:19,4,192597m,99
14:12:25,4,192597m,99
14:12:30,4,192783m,96
14:12:36,4,192783m,96
14:12:42,4,163869m,100
14:12:48,4,163869m,100
14:12:53,4,163869m,100
14:12:59,4,121398m,78
