ts,ready_replicas,keda_metric,cpu_pct
14:30:48,4,0,1
14:30:54,4,0,1
14:31:00,4,0,1
14:31:05,4,222088m,15
14:31:11,4,222088m,15
14:31:17,4,197309m,54
14:31:22,4,197309m,54
14:31:28,4,197309m,54
14:31:34,4,200844m,104
14:31:39,4,200844m,104
14:31:46,4,200844m,104
14:31:52,4,199663m,103
14:31:58,4,199663m,103
14:32:03,4,199663m,103
14:32:09,4,200247m,104
14:32:16,4,200247m,104
14:32:22,4,195631m,125
14:32:28,4,195631m,125
14:32:34,4,195631m,125
14:32:40,4,200113m,118
14:32:46,4,200113m,118
14:32:52,4,200173m,133
14:32:58,4,200173m,133
14:33:04,4,200173m,133
14:33:10,4,199068m,132
14:33:15,4,199068m,132
14:33:21,4,199068m,132
14:33:27,4,201597m,133
14:33:33,4,201597m,133
14:33:38,4,199193m,138
14:33:44,4,199193m,138
14:33:50,4,199193m,138
14:33:57,4,199721m,127
14:34:02,4,199721m,127
14:34:08,4,199721m,127
14:34:15,4,199034m,146
14:34:21,4,199034m,146
14:34:28,4,20768m,175
14:34:34,4,20768m,175
14:34:41,4,20768m,175
