ts,ready_replicas,keda_metric,cpu_pct
17:18:38,4,11385m,3
17:18:43,4,11385m,3
17:18:49,4,9478m,4
17:18:55,4,9478m,4
17:19:01,4,9478m,4
17:19:07,4,64918m,27
17:19:14,4,64918m,27
17:19:20,4,87546m,146
17:19:26,4,87546m,146
17:19:32,4,87546m,146
17:19:37,4,122065m,172
17:19:43,4,122065m,172
17:19:49,4,135120m,158
17:19:55,4,135120m,158
17:20:01,4,135120m,158
17:20:07,4,145988m,177
17:20:12,4,145988m,177
17:20:18,4,145988m,177
17:20:23,4,162567m,163
17:20:29,4,162567m,163
17:20:35,4,162567m,163
17:20:41,4,168861m,173
17:20:47,4,168861m,173
17:20:53,4,178400m,171
17:20:59,4,178400m,171
17:21:06,4,178400m,171
17:21:12,4,182018m,180
17:21:18,4,182018m,180
17:21:24,4,187538m,178
17:21:30,4,187538m,178
17:21:36,4,187538m,178
17:21:42,4,189626m,173
17:21:48,4,189626m,173
17:21:54,4,189626m,173
17:22:00,4,191364m,171
17:22:06,4,191364m,171
17:22:11,4,169559m,178
17:22:17,4,169559m,178
17:22:22,4,169559m,178
17:22:28,4,141156m,297
17:22:34,4,141156m,297
