ts,ready_replicas,keda_metric,cpu_pct
13:54:40,1,0,
13:54:46,1,0,
13:54:51,1,51115m,62
13:54:57,1,51115m,62
13:55:03,1,51115m,62
13:55:10,1,797618m,68
13:55:16,2,797618m,68
13:55:22,2,797618m,68
13:55:27,2,402768m,99
13:55:33,2,402768m,99
13:55:39,2,400599m,99
13:55:46,4,400599m,99
13:55:52,4,400599m,99
13:55:57,4,201002m,99
13:56:03,4,201002m,99
13:56:08,4,201002m,99
13:56:14,4,200013m,99
13:56:19,4,200013m,99
13:56:24,4,200013m,99
13:56:30,4,199938m,99
13:56:35,4,199938m,99
13:56:41,4,199938m,99
13:56:46,4,200530m,99
13:56:52,4,200530m,99
13:56:58,4,199138m,100
13:57:04,4,199138m,100
13:57:09,4,199138m,100
13:57:15,4,200210m,100
13:57:20,4,200210m,100
13:57:26,4,200210m,100
13:57:31,4,199693m,99
13:57:37,4,199693m,99
13:57:42,4,199693m,99
13:57:48,4,198889m,99
13:57:54,4,198889m,99
13:57:59,4,191247m,99
13:58:05,4,191247m,99
13:58:10,4,191247m,99
13:58:15,4,6541m,100
13:58:21,4,6541m,100
13:58:27,4,6541m,100
13:58:32,4,6541m,100
