ts,ready_replicas,keda_metric,cpu_pct
14:35:18,4,0,29
14:35:23,4,0,29
14:35:30,4,11354m,1
14:35:35,4,11354m,1
14:35:41,4,11354m,1
14:35:47,4,198523m,67
14:35:53,4,198523m,67
14:35:58,4,198523m,67
14:36:05,4,199583m,98
14:36:10,4,199583m,98
14:36:16,4,199602m,124
14:36:22,4,199602m,124
14:36:28,4,199602m,124
14:36:33,4,200317m,119
14:36:39,4,200317m,119
14:36:44,4,200317m,119
14:36:50,4,201959m,146
14:36:56,4,201959m,146
14:37:02,4,200340m,128
14:37:12,4,200340m,128
14:37:17,4,200340m,128
14:37:23,4,199841m,124
14:37:29,4,199841m,124
14:37:35,4,199841m,124
14:37:41,4,198745m,129
14:37:47,4,198745m,129
14:37:52,4,198745m,129
14:37:58,4,199152m,156
14:38:04,4,199152m,156
14:38:10,4,199061m,153
14:38:16,4,199061m,153
14:38:21,4,199061m,153
14:38:27,4,200706m,156
14:38:32,4,200706m,156
14:38:38,4,200706m,156
14:38:44,4,117330m,138
14:38:50,4,117330m,138
14:38:55,4,117330m,138
14:39:01,4,12972m,192
14:39:07,4,12972m,192
