ts,ready_replicas,keda_metric,cpu_pct
20:04:50,1,0,
20:04:55,1,0,
20:05:01,1,0,
20:05:07,1,788672m,40
20:05:14,2,788672m,40
20:05:20,2,403261m,207
20:05:26,2,403261m,207
20:05:32,2,403261m,207
20:05:38,2,399567m,196
20:05:46,4,399567m,196
20:05:52,4,191816m,177
20:05:58,4,191816m,177
20:06:04,4,191816m,177
20:06:10,4,200143m,101
20:06:16,4,200143m,101
20:06:22,4,200143m,101
20:06:27,4,200025m,106
20:06:34,4,200025m,106
20:06:40,4,200449m,149
20:06:46,4,200449m,149
20:06:52,4,200449m,149
20:06:58,4,198812m,125
20:07:03,4,198812m,125
20:07:09,4,200147m,144
20:07:14,4,200147m,144
20:07:20,4,200147m,144
20:07:27,4,199888m,139
20:07:32,4,199888m,139
20:07:38,4,199888m,139
20:07:45,4,199985m,157
20:07:51,4,199985m,157
20:07:56,4,199985m,157
20:08:03,4,199312m,152
20:08:09,4,199312m,152
20:08:15,4,98818m,158
20:08:20,4,98818m,158
20:08:26,4,98818m,158
20:08:32,4,7755m,177
20:08:38,4,7755m,177
20:08:43,4,7755m,177
