ts,ready_replicas,keda_metric,cpu_pct
14:04:26,1,233698m,
14:04:31,1,233698m,
14:04:37,1,220519m,
14:04:42,1,220519m,
14:04:49,1,220519m,
14:04:56,1,385800m,
14:05:02,1,385800m,
14:05:07,1,493170m,42
14:05:13,2,493170m,42
14:05:19,2,493170m,42
14:05:24,2,274379m,85
14:05:30,2,274379m,85
14:05:35,2,274379m,85
14:05:41,2,307190m,99
14:05:46,2,307190m,99
14:05:52,2,307190m,99
14:05:57,2,324101m,100
14:06:03,3,324101m,100
14:06:09,3,324101m,100
14:06:14,3,229007m,99
14:06:20,3,229007m,99
14:06:25,3,238821m,99
14:06:31,4,238821m,99
14:06:36,4,238821m,99
14:06:42,4,183024m,99
14:06:48,4,183024m,99
14:06:54,4,183024m,99
14:07:00,4,187404m,93
14:07:05,4,187404m,93
14:07:11,4,187404m,93
14:07:17,4,189687m,83
14:07:23,4,189687m,83
14:07:28,4,192360m,86
14:07:34,4,192360m,86
14:07:39,4,192360m,86
14:07:47,4,194134m,97
14:07:52,4,194134m,97
14:07:58,4,194134m,97
14:08:03,4,170840m,100
14:08:09,4,170840m,100
14:08:14,4,170840m,100
14:08:19,4,126561m,86
