run,replicas,athletes,target_rate_msg_s,offered,delivered,loss_pct,consumed,acked,write_errors,thr_acked_s,lat_transport_mean_ms,lat_transport_p95_ms,lat_transport_p99_ms,lat_transport_p95worst_ms,lat_persist_mean_ms,lat_persist_p95_ms,lat_persist_p99_ms,lat_persist_p95worst_ms,cpu_peak_m,cpu_mean_m,mem_peak_mi,mem_mean_mi
R1_N1,1,1,50,3942,3940,0.05,3942,3940,0,42.7,175.83,174.1,178.38,939.69,3099.68,1549.43,1576.86,159532.72,135.0,80.2,35.0,35.0
R1_N16,1,16,800,63501,34996,44.89,35059,34996,0,363.1,2851.23,2988.91,3020.9,4494.03,781.14,1019.05,1073.22,7392.0,888.0,739.1,35.0,35.0
R1_N2,1,2,100,7879,7874,0.06,7879,7874,0,85.3,179.92,185.14,190.87,235.71,890.32,1087.8,1112.08,6293.22,193.0,167.0,35.0,35.0
R1_N24,1,24,1200,95317,29991,68.54,30025,29991,0,304.8,3263.74,3540.35,3551.28,5618.45,1020.6,1443.39,1515.5,7287.07,866.0,611.8,35.0,35.0
R1_N32,1,32,1600,127371,6943,94.55,6400,6318,0,62.9,17312.54,26009.3,26026.77,31691.52,3557.34,5516.5,5608.18,7427.86,662.0,320.1,35.0,35.0
R1_N4,1,4,200,15786,15775,0.07,15786,15775,0,167.4,178.34,183.77,191.05,221.88,639.56,848.59,873.43,5682.02,333.0,268.9,35.0,35.0
R1_N40,1,40,2000,159471,5335,96.65,4808,4535,0,34.7,41820.91,44954.82,44982.59,59657.39,6761.6,7860.86,7921.4,9231.38,263.0,178.1,35.0,35.0
R1_N8,1,8,400,31551,31526,0.08,31551,31526,0,333.5,559.62,194.19,204.48,2611.7,605.22,815.28,848.11,5880.33,864.0,595.6,35.0,35.0
R2_N1,2,1,50,3942,3939,0.08,3942,3939,0,41.5,190.5,198.75,200.67,214.87,5949.65,5833.9,5850.93,21495.17,439.0,212.0,69.0,66.0
R2_N16,2,16,800,63501,44060,30.62,44299,44060,0,404.8,4452.7,5432.68,5461.27,10430.6,1596.75,1996.9,2049.3,9381.23,1286.0,1120.2,69.0,69.0
R2_N2,2,2,100,7879,7876,0.04,7879,7876,0,75.3,194.9,203.51,206.57,222.87,3590.52,4028.56,5051.47,16807.63,252.0,208.7,69.0,69.0
R2_N24,2,24,1200,95317,14622,84.66,14755,14622,0,137.0,14458.02,21260.94,21339.6,27435.8,5241.7,7857.54,7911.78,10652.44,1260.0,578.7,69.0,69.0
R2_N32,2,32,1600,127371,10626,91.66,10728,10626,0,92.6,26405.54,32861.87,32872.76,36570.3,9125.14,11486.19,11545.91,15222.53,646.0,392.9,69.0,69.0
R2_N4,2,4,200,15786,15762,0.15,15786,15762,0,148.1,199.95,208.92,217.56,231.11,1978.12,3324.38,3524.79,11595.52,414.0,357.4,69.0,69.0
R2_N40,2,40,2000,159471,10566,93.37,10427,9951,0,70.8,41273.08,43936.82,43988.07,61362.55,12658.58,13540.71,13606.13,20623.47,514.0,331.2,69.0,69.0
R2_N8,2,8,400,31551,31467,0.27,31551,31467,0,295.4,214.52,229.86,237.53,736.46,1393.77,2083.49,2124.2,9739.25,974.0,710.0,69.0,69.0
R4_N1,4,1,50,3942,3938,0.1,3942,3938,0,36.7,215.52,227.26,228.52,241.62,21357.12,669.83,688.7,70872.64,531.0,269.3,143.0,134.2
R4_N16,4,16,800,63501,55405,12.75,55779,55405,0,529.2,5817.11,7623.25,7641.71,8917.58,2722.62,2236.29,2850.79,15635.11,1180.0,1032.6,145.0,144.2
R4_N2,4,2,100,7879,7869,0.13,7879,7869,0,73.9,220.05,232.91,235.74,247.87,14436.92,11763.42,12336.49,64970.51,333.0,284.5,143.0,142.3
R4_N24,4,24,1200,95317,30089,68.43,30359,30089,0,294.0,12974.46,13632.4,13665.95,25685.69,5680.29,5611.08,6053.97,23335.12,1299.0,876.3,145.0,144.2
R4_N32,4,32,1600,127371,20383,84.0,19513,18849,0,153.7,37370.89,41444.03,41467.39,49098.9,12063.15,11065.13,11146.25,37494.46,864.0,622.5,144.0,144.0
R4_N4,4,4,200,15786,15754,0.2,15786,15754,0,147.5,224.49,238.38,246.0,270.85,7055.13,7819.11,7839.27,35058.86,506.0,437.4,143.0,142.3
R4_N40,4,40,2000,159471,20577,87.1,17518,16956,0,115.8,44415.3,44953.47,44982.61,76129.01,16082.42,14354.52,14460.2,45616.64,895.0,559.5,145.0,144.1
R4_N8,4,8,400,31551,31453,0.31,31551,31453,0,299.5,230.98,252.14,260.86,309.46,3804.77,5053.05,5073.8,21453.47,849.0,708.7,144.0,142.7
