ts,ready_replicas,keda_metric,cpu_pct
20:41:27,1,0,
20:41:33,1,0,1
20:41:38,1,0,1
20:41:44,1,72486m,1
20:41:50,1,72486m,1
20:41:55,1,72486m,1
20:42:01,1,194351m,87
20:42:07,2,194351m,87
20:42:13,2,194351m,87
20:42:18,2,190131m,160
20:42:24,2,190131m,160
20:42:30,2,225286m,57
20:42:35,2,225286m,57
20:42:41,2,225286m,57
20:42:46,2,278916m,85
20:42:52,3,278916m,85
20:42:58,3,278916m,85
20:43:04,3,199466m,95
20:43:10,3,199466m,95
20:43:16,3,199466m,95
20:43:21,3,220094m,70
20:43:27,3,220094m,70
20:43:33,3,227895m,69
20:43:39,3,227895m,69
20:43:45,3,227895m,69
20:43:51,3,234309m,79
20:43:57,3,234309m,79
20:44:03,3,234309m,79
20:44:10,3,244309m,69
20:44:16,3,244309m,69
20:44:21,3,248054m,55
20:44:27,3,248054m,55
20:44:32,3,248054m,55
20:44:38,3,253768m,70
20:44:43,3,253768m,70
20:44:49,3,253768m,70
20:44:55,3,255928m,72
20:45:02,3,255928m,72
20:45:08,3,200382m,76
20:45:13,3,200382m,76
20:45:18,3,200382m,76
20:45:24,3,166816m,119
