ts_unix,pod,cpu_m,mem_mi
1783872995,processor-57d86c6649-cgq6x,81,38
1783872995,processor-57d86c6649-dcssm,74,33
1783872995,processor-57d86c6649-f422v,76,38
1783872995,processor-57d86c6649-ms59k,80,33
1783872997,processor-57d86c6649-cgq6x,81,38
1783872997,processor-57d86c6649-dcssm,74,33
1783872997,processor-57d86c6649-f422v,76,38
1783872997,processor-57d86c6649-ms59k,80,33
1783873000,processor-57d86c6649-cgq6x,81,38
1783873000,processor-57d86c6649-dcssm,57,33
1783873000,processor-57d86c6649-f422v,76,38
1783873000,processor-57d86c6649-ms59k,63,33
1783873002,processor-57d86c6649-cgq6x,81,38
1783873002,processor-57d86c6649-dcssm,57,33
1783873002,processor-57d86c6649-f422v,76,38
1783873002,processor-57d86c6649-ms59k,63,33
1783873004,processor-57d86c6649-cgq6x,81,38
1783873004,processor-57d86c6649-dcssm,57,33
1783873004,processor-57d86c6649-f422v,76,38
1783873004,processor-57d86c6649-ms59k,63,33
1783873006,processor-57d86c6649-cgq6x,81,38
1783873006,processor-57d86c6649-dcssm,57,33
1783873006,processor-57d86c6649-f422v,76,38
1783873006,processor-57d86c6649-ms59k,63,33
1783873008,processor-57d86c6649-cgq6x,81,38
1783873008,processor-57d86c6649-dcssm,57,33
1783873008,processor-57d86c6649-f422v,76,38
1783873008,processor-57d86c6649-ms59k,63,33
1783873010,processor-57d86c6649-cgq6x,81,38
1783873010,processor-57d86c6649-dcssm,57,33
1783873010,processor-57d86c6649-f422v,76,38
1783873010,processor-57d86c6649-ms59k,63,33
1783873012,processor-57d86c6649-cgq6x,81,38
1783873012,processor-57d86c6649-dcssm,57,33
1783873012,processor-57d86c6649-f422v,76,38
1783873012,processor-57d86c6649-ms59k,63,33
1783873015,processor-57d86c6649-cgq6x,75,38
1783873015,processor-57d86c6649-dcssm,101,33
1783873015,processor-57d86c6649-f422v,60,38
1783873015,processor-57d86c6649-ms59k,98,33
1783873017,processor-57d86c6649-cgq6x,75,38
1783873017,processor-57d86c6649-dcssm,101,33
1783873017,processor-57d86c6649-f422v,60,38
1783873017,processor-57d86c6649-ms59k,98,33
1783873019,processor-57d86c6649-cgq6x,75,38
1783873019,processor-57d86c6649-dcssm,101,33
1783873019,processor-57d86c6649-f422v,60,38
1783873019,processor-57d86c6649-ms59k,98,33
1783873021,processor-57d86c6649-cgq6x,75,38
1783873021,processor-57d86c6649-dcssm,101,33
1783873021,processor-57d86c6649-f422v,60,38
1783873021,processor-57d86c6649-ms59k,98,33
1783873023,processor-57d86c6649-cgq6x,75,38
1783873023,processor-57d86c6649-dcssm,101,33
1783873023,processor-57d86c6649-f422v,60,38
1783873023,processor-57d86c6649-ms59k,98,33
1783873026,processor-57d86c6649-cgq6x,75,38
1783873026,processor-57d86c6649-dcssm,101,33
1783873026,processor-57d86c6649-f422v,60,38
1783873026,processor-57d86c6649-ms59k,98,33
1783873028,processor-57d86c6649-cgq6x,75,38
1783873028,processor-57d86c6649-dcssm,101,33
1783873028,processor-57d86c6649-f422v,60,38
1783873028,processor-57d86c6649-ms59k,98,33
1783873030,processor-57d86c6649-cgq6x,132,38
1783873030,processor-57d86c6649-dcssm,119,33
1783873030,processor-57d86c6649-f422v,116,38
1783873030,processor-57d86c6649-ms59k,134,33
1783873032,processor-57d86c6649-cgq6x,132,38
1783873032,processor-57d86c6649-dcssm,119,33
1783873032,processor-57d86c6649-f422v,116,38
1783873032,processor-57d86c6649-ms59k,134,33
1783873034,processor-57d86c6649-cgq6x,132,38
1783873034,processor-57d86c6649-dcssm,119,33
1783873034,processor-57d86c6649-f422v,116,38
1783873034,processor-57d86c6649-ms59k,134,33
1783873036,processor-57d86c6649-cgq6x,132,38
1783873036,processor-57d86c6649-dcssm,119,33
1783873036,processor-57d86c6649-f422v,116,38
1783873036,processor-57d86c6649-ms59k,134,33
1783873038,processor-57d86c6649-cgq6x,132,38
1783873038,processor-57d86c6649-dcssm,119,33
1783873038,processor-57d86c6649-f422v,116,38
1783873038,processor-57d86c6649-ms59k,134,33
1783873041,processor-57d86c6649-cgq6x,132,38
1783873041,processor-57d86c6649-dcssm,119,33
1783873041,processor-57d86c6649-f422v,116,38
1783873041,processor-57d86c6649-ms59k,134,33
1783873043,processor-57d86c6649-cgq6x,132,38
1783873043,processor-57d86c6649-dcssm,119,33
1783873043,processor-57d86c6649-f422v,116,38
1783873043,processor-57d86c6649-ms59k,134,33
1783873045,processor-57d86c6649-cgq6x,134,38
1783873045,processor-57d86c6649-dcssm,119,33
1783873045,processor-57d86c6649-f422v,112,38
1783873045,processor-57d86c6649-ms59k,129,33
1783873047,processor-57d86c6649-cgq6x,134,38
1783873047,processor-57d86c6649-dcssm,119,33
1783873047,processor-57d86c6649-f422v,112,38
1783873047,processor-57d86c6649-ms59k,129,33
1783873049,processor-57d86c6649-cgq6x,134,38
1783873049,processor-57d86c6649-dcssm,119,33
1783873049,processor-57d86c6649-f422v,112,38
1783873049,processor-57d86c6649-ms59k,129,33
1783873051,processor-57d86c6649-cgq6x,134,38
1783873051,processor-57d86c6649-dcssm,119,33
1783873051,processor-57d86c6649-f422v,112,38
1783873051,processor-57d86c6649-ms59k,129,33
1783873053,processor-57d86c6649-cgq6x,134,38
1783873053,processor-57d86c6649-dcssm,119,33
1783873053,processor-57d86c6649-f422v,112,38
1783873053,processor-57d86c6649-ms59k,129,33
1783873056,processor-57d86c6649-cgq6x,134,38
1783873056,processor-57d86c6649-dcssm,119,33
1783873056,processor-57d86c6649-f422v,112,38
1783873056,processor-57d86c6649-ms59k,129,33
1783873058,processor-57d86c6649-cgq6x,134,38
1783873058,processor-57d86c6649-dcssm,119,33
1783873058,processor-57d86c6649-f422v,112,38
1783873058,processor-57d86c6649-ms59k,129,33
1783873060,processor-57d86c6649-cgq6x,134,38
1783873060,processor-57d86c6649-dcssm,121,34
1783873060,processor-57d86c6649-f422v,116,38
1783873060,processor-57d86c6649-ms59k,135,33
1783873062,processor-57d86c6649-cgq6x,134,38
1783873062,processor-57d86c6649-dcssm,121,34
1783873062,processor-57d86c6649-f422v,116,38
1783873062,processor-57d86c6649-ms59k,135,33
1783873064,processor-57d86c6649-cgq6x,134,38
1783873064,processor-57d86c6649-dcssm,121,34
1783873064,processor-57d86c6649-f422v,116,38
1783873064,processor-57d86c6649-ms59k,135,33
1783873067,processor-57d86c6649-cgq6x,134,38
1783873067,processor-57d86c6649-dcssm,121,34
