t,caudal_msg_s,cpu_total_m,replicas,desired,caudal_cmd,cpu_cmd
0.0,3.277,2,1,1,1,1
5.0,31.966,53,1,1,1,1
10.0,31.966,53,1,1,1,1
15.0,160.619,53,1,1,1,1
20.0,160.619,286,1,1,1,2
25.0,267.812,286,1,1,1,2
30.0,267.812,286,1,2,1,2
35.0,267.812,275,2,2,1,2
40.0,356.868,275,2,2,1,2
45.0,356.868,275,2,2,1,2
50.0,431.706,896,2,2,2,4
55.0,431.706,896,2,2,2,4
60.0,493.139,896,2,2,2,4
65.0,493.139,665,2,2,2,4
70.0,544.191,665,2,2,2,4
75.0,544.191,665,2,2,2,4
80.0,585.793,711,3,4,2,4
85.0,585.793,711,4,4,2,4
90.0,585.793,711,4,4,2,4
95.0,622.923,1021,4,4,2,4
100.0,622.923,1021,4,4,2,4
105.0,652.722,1021,4,4,2,4
110.0,652.722,770,4,4,2,4
115.0,677.865,770,4,4,2,4
120.0,677.865,770,4,4,2,4
125.0,697.715,678,4,4,2,4
130.0,697.715,678,4,4,2,4
135.0,714.848,678,4,4,2,4
140.0,714.848,707,4,4,2,4
145.0,714.848,707,4,4,2,4
150.0,729.295,707,4,4,2,4
155.0,729.295,712,4,4,2,4
160.0,741.337,712,4,4,2,4
165.0,741.337,712,4,4,2,4
170.0,751.392,677,4,4,2,4
175.0,751.392,677,4,4,2,4
180.0,759.504,677,4,4,2,4
185.0,759.504,658,4,4,2,4
190.0,765.708,658,4,4,2,4
195.0,765.708,658,4,4,2,4
200.0,765.708,657,4,4,2,4
205.0,752.768,657,4,4,2,4
210.0,752.768,657,4,4,2,4
215.0,637.24,979,4,4,2,4
220.0,637.24,979,4,4,2,4
225.0,530.496,979,4,4,2,4
