run,replicas,athletes,target_rate_msg_s,offered,delivered,loss_pct,consumed,acked,write_errors,thr_acked_s,lat_transport_mean_ms,lat_transport_p95_ms,lat_transport_p99_ms,lat_transport_p95worst_ms,lat_persist_mean_ms,lat_persist_p95_ms,lat_persist_p99_ms,lat_persist_p95worst_ms,cpu_peak_m,cpu_mean_m,mem_peak_mi,mem_mean_mi
R1_N24,1,24,1200,95464,95431,0.03,95464,95431,0,991.9,142.95,146.61,158.26,457.1,316.28,531.33,558.98,1272.38,479.0,336.8,34.0,33.8
R1_N32,1,32,1600,127450,127131,0.25,127131,127131,0,1344.1,185.97,187.19,207.06,1067.5,254.52,414.92,442.3,6153.95,606.0,536.0,34.0,34.0
R1_N48,1,48,2400,191701,97983,48.89,97984,97983,0,1016.8,1074.58,1430.65,1459.19,2598.93,280.52,539.84,617.68,911.34,608.0,487.9,35.0,34.2
R1_N64,1,64,3200,255881,38737,84.86,38738,38737,0,393.4,2557.82,3441.44,3662.19,7515.52,383.27,774.89,1093.87,7039.14,608.0,279.3,35.0,34.3
R2_N24,2,24,1200,95464,95403,0.06,95464,95403,0,971.2,160.52,174.56,189.66,463.2,372.82,591.69,620.45,13659.22,709.0,608.2,69.0,65.5
R2_N32,2,32,1600,127450,127387,0.05,127450,127387,0,1317.8,204.3,265.0,291.17,793.84,395.72,633.55,678.53,7359.59,826.0,703.6,69.0,68.5
R2_N48,2,48,2400,191701,85440,55.43,85525,85440,0,883.6,2241.03,2738.81,2772.02,5434.12,491.5,837.12,1000.58,8591.02,783.0,554.6,69.0,68.3
R2_N64,2,64,3200,255881,46194,81.95,46291,46194,0,479.9,4131.56,5802.34,5845.59,16326.43,892.51,1601.16,1702.03,9159.74,629.0,428.2,69.0,68.6
R4_N24,4,24,1200,95464,56386,40.93,54373,53837,0,524.4,4655.82,8230.17,8303.28,32074.03,1111.09,1241.45,1327.72,16684.21,888.0,549.7,137.0,130.5
R4_N32,4,32,1600,127450,20330,84.05,20370,20195,0,129.1,53134.72,54932.03,54944.23,86270.21,4182.18,2916.32,2977.21,19272.79,415.0,258.1,136.0,136.0
R4_N48,4,48,2400,191701,20530,89.29,18402,18187,0,113.4,60708.11,62968.44,63002.78,90829.07,5173.68,3603.99,3679.36,24779.66,284.0,174.1,137.0,136.2
R4_N64,4,64,3200,255881,20506,91.99,17544,17383,0,60.1,120408.01,120644.33,120681.24,219316.76,10431.46,5438.44,5472.82,38020.46,215.0,165.0,137.0,136.3
