ts_unix,pod,cpu_m,mem_mi
1783873316,processor-57d86c6649-cgq6x,353,38
1783873316,processor-57d86c6649-dcssm,337,34
1783873316,processor-57d86c6649-f422v,296,38
1783873316,processor-57d86c6649-ms59k,313,34
1783873319,processor-57d86c6649-cgq6x,353,38
1783873319,processor-57d86c6649-dcssm,337,34
1783873319,processor-57d86c6649-f422v,296,38
1783873319,processor-57d86c6649-ms59k,313,34
1783873321,processor-57d86c6649-cgq6x,353,38
1783873321,processor-57d86c6649-dcssm,337,34
1783873321,processor-57d86c6649-f422v,296,38
1783873321,processor-57d86c6649-ms59k,313,34
1783873323,processor-57d86c6649-cgq6x,353,38
1783873323,processor-57d86c6649-dcssm,337,34
1783873323,processor-57d86c6649-f422v,296,38
1783873323,processor-57d86c6649-ms59k,313,34
1783873325,processor-57d86c6649-cgq6x,353,38
1783873325,processor-57d86c6649-dcssm,337,34
1783873325,processor-57d86c6649-f422v,296,38
1783873325,processor-57d86c6649-ms59k,313,34
1783873328,processor-57d86c6649-cgq6x,353,38
1783873328,processor-57d86c6649-dcssm,337,34
1783873328,processor-57d86c6649-f422v,296,38
1783873328,processor-57d86c6649-ms59k,313,34
1783873330,processor-57d86c6649-cgq6x,211,38
1783873330,processor-57d86c6649-dcssm,169,34
1783873330,processor-57d86c6649-f422v,194,38
1783873330,processor-57d86c6649-ms59k,313,34
1783873332,processor-57d86c6649-cgq6x,211,38
1783873332,processor-57d86c6649-dcssm,169,34
1783873332,processor-57d86c6649-f422v,194,38
1783873332,processor-57d86c6649-ms59k,313,34
1783873335,processor-57d86c6649-cgq6x,211,38
1783873335,processor-57d86c6649-dcssm,169,34
1783873335,processor-57d86c6649-f422v,194,38
1783873335,processor-57d86c6649-ms59k,313,34
1783873337,processor-57d86c6649-cgq6x,211,38
1783873337,processor-57d86c6649-dcssm,169,34
1783873337,processor-57d86c6649-f422v,194,38
1783873337,processor-57d86c6649-ms59k,313,34
1783873339,processor-57d86c6649-cgq6x,211,38
1783873339,processor-57d86c6649-dcssm,169,34
1783873339,processor-57d86c6649-f422v,194,38
1783873339,processor-57d86c6649-ms59k,313,34
1783873341,processor-57d86c6649-cgq6x,211,38
1783873341,processor-57d86c6649-dcssm,169,34
1783873341,processor-57d86c6649-f422v,194,38
1783873341,processor-57d86c6649-ms59k,313,34
1783873344,processor-57d86c6649-cgq6x,211,38
1783873344,processor-57d86c6649-dcssm,169,34
1783873344,processor-57d86c6649-f422v,194,38
1783873344,processor-57d86c6649-ms59k,313,34
1783873346,processor-57d86c6649-cgq6x,233,38
1783873346,processor-57d86c6649-dcssm,203,34
1783873346,processor-57d86c6649-f422v,186,38
1783873346,processor-57d86c6649-ms59k,178,34
1783873349,processor-57d86c6649-cgq6x,233,38
1783873349,processor-57d86c6649-dcssm,203,34
1783873349,processor-57d86c6649-f422v,186,38
1783873349,processor-57d86c6649-ms59k,178,34
1783873351,processor-57d86c6649-cgq6x,233,38
1783873351,processor-57d86c6649-dcssm,203,34
1783873351,processor-57d86c6649-f422v,186,38
1783873351,processor-57d86c6649-ms59k,178,34
1783873353,processor-57d86c6649-cgq6x,233,38
1783873353,processor-57d86c6649-dcssm,203,34
1783873353,processor-57d86c6649-f422v,186,38
1783873353,processor-57d86c6649-ms59k,178,34
1783873355,processor-57d86c6649-cgq6x,233,38
1783873355,processor-57d86c6649-dcssm,203,34
1783873355,processor-57d86c6649-f422v,186,38
1783873355,processor-57d86c6649-ms59k,178,34
1783873358,processor-57d86c6649-cgq6x,233,38
1783873358,processor-57d86c6649-dcssm,203,34
1783873358,processor-57d86c6649-f422v,186,38
1783873358,processor-57d86c6649-ms59k,178,34
1783873360,processor-57d86c6649-cgq6x,212,38
1783873360,processor-57d86c6649-dcssm,191,34
1783873360,processor-57d86c6649-f422v,175,38
1783873360,processor-57d86c6649-ms59k,260,34
1783873362,processor-57d86c6649-cgq6x,212,38
1783873362,processor-57d86c6649-dcssm,191,34
1783873362,processor-57d86c6649-f422v,175,38
1783873362,processor-57d86c6649-ms59k,260,34
1783873365,processor-57d86c6649-cgq6x,212,38
1783873365,processor-57d86c6649-dcssm,191,34
1783873365,processor-57d86c6649-f422v,175,38
1783873365,processor-57d86c6649-ms59k,260,34
1783873367,processor-57d86c6649-cgq6x,212,38
1783873367,processor-57d86c6649-dcssm,191,34
1783873367,processor-57d86c6649-f422v,175,38
1783873367,processor-57d86c6649-ms59k,260,34
1783873369,processor-57d86c6649-cgq6x,212,38
1783873369,processor-57d86c6649-dcssm,191,34
1783873369,processor-57d86c6649-f422v,175,38
1783873369,processor-57d86c6649-ms59k,260,34
1783873372,processor-57d86c6649-cgq6x,212,38
1783873372,processor-57d86c6649-dcssm,191,34
1783873372,processor-57d86c6649-f422v,175,38
1783873372,processor-57d86c6649-ms59k,260,34
1783873377,processor-57d86c6649-cgq6x,218,38
1783873377,processor-57d86c6649-dcssm,193,34
1783873377,processor-57d86c6649-f422v,187,39
1783873377,processor-57d86c6649-ms59k,243,34
1783873389,processor-57d86c6649-cgq6x,197,38
1783873389,processor-57d86c6649-dcssm,164,34
1783873389,processor-57d86c6649-f422v,163,38
1783873389,processor-57d86c6649-ms59k,210,34
1783873394,processor-57d86c6649-cgq6x,197,38
1783873394,processor-57d86c6649-dcssm,164,34
1783873394,processor-57d86c6649-f422v,163,38
1783873394,processor-57d86c6649-ms59k,210,34
1783873396,processor-57d86c6649-cgq6x,197,38
1783873396,processor-57d86c6649-dcssm,164,34
1783873396,processor-57d86c6649-f422v,163,38
1783873396,processor-57d86c6649-ms59k,210,34
1783873399,processor-57d86c6649-cgq6x,197,38
1783873399,processor-57d86c6649-dcssm,164,34
1783873399,processor-57d86c6649-f422v,163,38
1783873399,processor-57d86c6649-ms59k,210,34
1783873401,processor-57d86c6649-cgq6x,197,38
1783873401,processor-57d86c6649-dcssm,164,34
1783873401,processor-57d86c6649-f422v,163,38
1783873401,processor-57d86c6649-ms59k,210,34
1783873403,processor-57d86c6649-cgq6x,197,38
1783873403,processor-57d86c6649-dcssm,164,34
1783873403,processor-57d86c6649-f422v,163,38
1783873403,processor-57d86c6649-ms59k,210,34
1783873406,processor-57d86c6649-cgq6x,177,38
1783873406,processor-57d86c6649-dcssm,159,34
1783873406,processor-57d86c6649-f422v,143,39
1783873406,processor-57d86c6649-ms59k,225,34
1783873408,processor-57d86c6649-cgq6x,177,38
1783873408,processor-57d86c6649-dcssm,159,34
1783873408,processor-57d86c6649-f422v,143,39
1783873408,processor-57d86c6649-ms59k,225,34
1783873410,processor-57d86c6649-cgq6x,177,38
1783873410,processor-57d86c6649-dcssm,159,34
1783873410,processor-57d86c6649-f422v,143,39
1783873410,processor-57d86c6649-ms59k,225,34
1783873413,processor-57d86c6649-cgq6x,177,38
1783873413,processor-57d86c6649-dcssm,159,34
1783873413,processor-57d86c6649-f422v,143,39
1783873413,processor-57d86c6649-ms59k,225,34
1783873415,processor-57d86c6649-cgq6x,177,38
1783873415,processor-57d86c6649-dcssm,159,34
1783873415,processor-57d86c6649-f422v,143,39
1783873415,processor-57d86c6649-ms59k,225,34
1783873417,processor-57d86c6649-cgq6x,177,38
1783873417,processor-57d86c6649-dcssm,159,34
1783873417,processor-57d86c6649-f422v,143,39
1783873417,processor-57d86c6649-ms59k,225,34
