run,replicas,athletes,target_rate_msg_s,offered,delivered,loss_pct,consumed,acked,write_errors,thr_acked_s,lat_transport_mean_ms,lat_transport_p95_ms,lat_transport_p99_ms,lat_transport_p95worst_ms,lat_persist_mean_ms,lat_persist_p95_ms,lat_persist_p99_ms,lat_persist_p95worst_ms,cpu_peak_m,cpu_mean_m,mem_peak_mi,mem_mean_mi
R1_N12,1,12,600,47946,47946,0.0,47946,47938,0,598.4,153.84,158.68,162.95,161.49,328.91,550.57,579.43,553.48,285.0,248.2,37.0,36.2
R1_N16,1,16,800,63990,63990,0.0,63990,63998,0,710.0,159.28,163.62,169.46,166.2,321.75,548.34,571.99,891.45,347.0,292.9,37.0,36.8
R1_N4,1,4,200,15885,15863,0.14,15849,15785,0,197.2,147.87,152.49,156.16,170.12,385.06,613.61,639.54,618.19,121.0,80.0,36.0,35.9
R1_N8,1,8,400,32007,32007,0.0,32043,32085,0,400.8,147.83,152.23,156.0,152.95,341.24,563.03,588.17,638.08,205.0,166.9,36.0,36.0
R2_N12,2,12,600,47946,47932,0.03,47946,47932,0,582.2,170.6,175.32,178.81,177.31,339.88,577.77,602.86,866.66,471.0,399.8,72.0,72.0
R2_N16,2,16,800,63990,63983,0.01,63990,63983,0,777.1,163.85,164.74,184.82,331.25,350.55,572.77,609.03,612.84,586.0,460.5,73.0,72.2
R2_N4,2,4,200,15885,15884,0.01,15620,15581,0,194.6,160.34,164.26,168.22,167.66,418.21,519.64,558.31,741.67,243.0,219.3,72.0,67.7
R2_N8,2,8,400,32007,32007,0.0,32136,32153,0,366.3,165.83,170.14,176.25,173.31,343.83,567.02,593.66,860.65,372.0,308.4,72.0,72.0
R4_N12,4,12,600,47946,47939,0.01,47946,47939,0,582.7,162.42,167.94,173.19,169.28,395.31,623.33,703.68,864.7,643.0,530.8,143.0,143.0
R4_N16,4,16,800,63990,63974,0.03,63990,63974,0,710.5,167.35,172.2,178.62,226.47,386.77,636.71,669.73,12197.13,750.0,628.4,143.0,143.0
R4_N4,4,4,200,15885,15883,0.01,15312,15262,0,190.6,153.54,157.41,162.18,158.89,560.57,932.73,953.57,19396.78,363.0,301.3,143.0,130.9
R4_N8,4,8,400,32007,31999,0.02,32007,31999,0,389.0,157.98,162.28,166.29,164.1,413.0,632.35,689.88,1506.88,480.0,393.0,143.0,143.0
