ts_unix,pod,cpu_m,mem_mi
1783872887,processor-57d86c6649-cgq6x,55,38
1783872887,processor-57d86c6649-dcssm,51,33
1783872887,processor-57d86c6649-f422v,52,38
1783872887,processor-57d86c6649-ms59k,56,33
1783872889,processor-57d86c6649-cgq6x,55,38
1783872889,processor-57d86c6649-dcssm,51,33
1783872889,processor-57d86c6649-f422v,52,38
1783872889,processor-57d86c6649-ms59k,56,33
1783872891,processor-57d86c6649-cgq6x,55,38
1783872891,processor-57d86c6649-dcssm,51,33
1783872891,processor-57d86c6649-f422v,52,38
1783872891,processor-57d86c6649-ms59k,56,33
1783872893,processor-57d86c6649-cgq6x,55,38
1783872893,processor-57d86c6649-dcssm,51,33
1783872893,processor-57d86c6649-f422v,52,38
1783872893,processor-57d86c6649-ms59k,56,33
1783872896,processor-57d86c6649-cgq6x,44,38
1783872896,processor-57d86c6649-dcssm,42,33
1783872896,processor-57d86c6649-f422v,55,38
1783872896,processor-57d86c6649-ms59k,56,33
1783872898,processor-57d86c6649-cgq6x,44,38
1783872898,processor-57d86c6649-dcssm,42,33
1783872898,processor-57d86c6649-f422v,55,38
1783872898,processor-57d86c6649-ms59k,56,33
1783872900,processor-57d86c6649-cgq6x,44,38
1783872900,processor-57d86c6649-dcssm,42,33
1783872900,processor-57d86c6649-f422v,55,38
1783872900,processor-57d86c6649-ms59k,56,33
1783872902,processor-57d86c6649-cgq6x,44,38
1783872902,processor-57d86c6649-dcssm,42,33
1783872902,processor-57d86c6649-f422v,55,38
1783872902,processor-57d86c6649-ms59k,56,33
1783872904,processor-57d86c6649-cgq6x,44,38
1783872904,processor-57d86c6649-dcssm,42,33
1783872904,processor-57d86c6649-f422v,55,38
1783872904,processor-57d86c6649-ms59k,56,33
1783872906,processor-57d86c6649-cgq6x,44,38
1783872906,processor-57d86c6649-dcssm,42,33
1783872906,processor-57d86c6649-f422v,55,38
1783872906,processor-57d86c6649-ms59k,56,33
1783872908,processor-57d86c6649-cgq6x,44,38
1783872908,processor-57d86c6649-dcssm,42,33
1783872908,processor-57d86c6649-f422v,55,38
1783872908,processor-57d86c6649-ms59k,56,33
1783872911,processor-57d86c6649-cgq6x,82,38
1783872911,processor-57d86c6649-dcssm,76,33
1783872911,processor-57d86c6649-f422v,48,38
1783872911,processor-57d86c6649-ms59k,48,33
1783872913,processor-57d86c6649-cgq6x,82,38
1783872913,processor-57d86c6649-dcssm,76,33
1783872913,processor-57d86c6649-f422v,48,38
1783872913,processor-57d86c6649-ms59k,48,33
1783872915,processor-57d86c6649-cgq6x,82,38
1783872915,processor-57d86c6649-dcssm,76,33
1783872915,processor-57d86c6649-f422v,48,38
1783872915,processor-57d86c6649-ms59k,48,33
1783872917,processor-57d86c6649-cgq6x,82,38
1783872917,processor-57d86c6649-dcssm,76,33
1783872917,processor-57d86c6649-f422v,48,38
1783872917,processor-57d86c6649-ms59k,48,33
1783872919,processor-57d86c6649-cgq6x,82,38
1783872919,processor-57d86c6649-dcssm,76,33
1783872919,processor-57d86c6649-f422v,48,38
1783872919,processor-57d86c6649-ms59k,48,33
1783872921,processor-57d86c6649-cgq6x,82,38
1783872921,processor-57d86c6649-dcssm,76,33
1783872921,processor-57d86c6649-f422v,48,38
1783872921,processor-57d86c6649-ms59k,48,33
1783872923,processor-57d86c6649-cgq6x,82,38
1783872923,processor-57d86c6649-dcssm,76,33
1783872923,processor-57d86c6649-f422v,48,38
1783872923,processor-57d86c6649-ms59k,48,33
1783872926,processor-57d86c6649-cgq6x,86,38
1783872926,processor-57d86c6649-dcssm,79,34
1783872926,processor-57d86c6649-f422v,76,38
1783872926,processor-57d86c6649-ms59k,77,33
1783872928,processor-57d86c6649-cgq6x,86,38
1783872928,processor-57d86c6649-dcssm,79,34
1783872928,processor-57d86c6649-f422v,76,38
1783872928,processor-57d86c6649-ms59k,77,33
1783872930,processor-57d86c6649-cgq6x,86,38
1783872930,processor-57d86c6649-dcssm,79,34
1783872930,processor-57d86c6649-f422v,76,38
1783872930,processor-57d86c6649-ms59k,77,33
1783872932,processor-57d86c6649-cgq6x,86,38
1783872932,processor-57d86c6649-dcssm,79,34
1783872932,processor-57d86c6649-f422v,76,38
1783872932,processor-57d86c6649-ms59k,77,33
1783872934,processor-57d86c6649-cgq6x,86,38
1783872934,processor-57d86c6649-dcssm,79,34
1783872934,processor-57d86c6649-f422v,76,38
1783872934,processor-57d86c6649-ms59k,77,33
1783872936,processor-57d86c6649-cgq6x,86,38
1783872936,processor-57d86c6649-dcssm,79,34
1783872936,processor-57d86c6649-f422v,76,38
1783872936,processor-57d86c6649-ms59k,77,33
1783872939,processor-57d86c6649-cgq6x,86,38
1783872939,processor-57d86c6649-dcssm,79,34
1783872939,processor-57d86c6649-f422v,76,38
1783872939,processor-57d86c6649-ms59k,77,33
1783872941,processor-57d86c6649-cgq6x,90,38
1783872941,processor-57d86c6649-dcssm,79,33
1783872941,processor-57d86c6649-f422v,79,38
1783872941,processor-57d86c6649-ms59k,85,34
1783872943,processor-57d86c6649-cgq6x,90,38
1783872943,processor-57d86c6649-dcssm,79,33
1783872943,processor-57d86c6649-f422v,79,38
1783872943,processor-57d86c6649-ms59k,85,34
1783872945,processor-57d86c6649-cgq6x,90,38
1783872945,processor-57d86c6649-dcssm,79,33
1783872945,processor-57d86c6649-f422v,79,38
1783872945,processor-57d86c6649-ms59k,85,34
1783872947,processor-57d86c6649-cgq6x,90,38
1783872947,processor-57d86c6649-dcssm,79,33
1783872947,processor-57d86c6649-f422v,79,38
1783872947,processor-57d86c6649-ms59k,85,34
1783872949,processor-57d86c6649-cgq6x,90,38
1783872949,processor-57d86c6649-dcssm,79,33
1783872949,processor-57d86c6649-f422v,79,38
1783872949,processor-57d86c6649-ms59k,85,34
1783872951,processor-57d86c6649-cgq6x,90,38
1783872951,processor-57d86c6649-dcssm,79,33
1783872951,processor-57d86c6649-f422v,79,38
1783872951,processor-57d86c6649-ms59k,85,34
1783872954,processor-57d86c6649-cgq6x,90,38
1783872954,processor-57d86c6649-dcssm,79,33
1783872954,processor-57d86c6649-f422v,79,38
1783872954,processor-57d86c6649-ms59k,85,34
1783872956,processor-57d86c6649-cgq6x,84,38
1783872956,processor-57d86c6649-dcssm,79,33
1783872956,processor-57d86c6649-f422v,75,38
1783872956,processor-57d86c6649-ms59k,78,33
1783872958,processor-57d86c6649-cgq6x,84,38
1783872958,processor-57d86c6649-dcssm,79,33
1783872958,processor-57d86c6649-f422v,75,38
1783872958,processor-57d86c6649-ms59k,78,33
1783872960,processor-57d86c6649-cgq6x,84,38
1783872960,processor-57d86c6649-dcssm,79,33
1783872960,processor-57d86c6649-f422v,75,38
1783872960,processor-57d86c6649-ms59k,78,33
1783872962,processor-57d86c6649-cgq6x,84,38
