ts,ready_replicas,keda_metric,cpu_pct
15:16:19,4,0,0
15:16:24,4,0,0
15:16:30,4,199689m,2
15:16:36,4,199689m,2
15:16:42,4,199689m,2
15:16:47,4,199757m,78
15:16:53,4,199757m,78
15:16:59,4,199757m,78
15:17:05,4,200034m,131
15:17:11,4,200034m,131
15:17:17,4,199847m,134
15:17:22,4,199847m,134
15:17:27,4,199847m,134
15:17:33,4,199680m,136
15:17:39,4,199680m,136
15:17:44,4,199680m,136
15:17:50,4,200344m,140
15:17:56,4,200344m,140
15:18:02,4,199471m,144
15:18:07,4,199471m,144
15:18:12,4,199471m,144
15:18:18,4,200556m,144
15:18:23,4,200556m,144
15:18:28,4,200556m,144
15:18:34,4,200804m,145
15:18:39,4,200804m,145
15:18:45,4,200804m,145
15:18:50,4,199933m,142
15:18:56,4,199933m,142
15:19:01,4,199670m,145
15:19:07,4,199670m,145
15:19:12,4,199670m,145
15:19:17,4,199873m,143
15:19:23,4,199873m,143
15:19:28,4,199873m,143
15:19:34,4,199832m,145
15:19:39,4,199832m,145
15:19:44,4,199832m,145
15:19:50,4,116096m,143
15:19:56,4,116096m,143
15:20:02,4,12486m,76
15:20:07,4,12486m,76
15:20:13,4,12486m,76
