run,replicas,athletes,target_rate_msg_s,offered,delivered,loss_pct,consumed,acked,write_errors,thr_acked_s,lat_transport_mean_ms,lat_transport_p95_ms,lat_transport_p99_ms,lat_transport_p95worst_ms,lat_persist_mean_ms,lat_persist_p95_ms,lat_persist_p99_ms,lat_persist_p95worst_ms,cpu_peak_m,cpu_mean_m,mem_peak_mi,mem_mean_mi
R1_N12,1,12,600,47591,47591,0.0,47591,47591,0,504.5,82.78,85.53,87.3,107.03,275.66,502.28,521.62,538.69,174.0,149.7,34.0,34.0
R1_N16,1,16,800,63618,63618,0.0,63618,63618,0,660.5,86.77,89.56,91.49,165.46,278.13,505.39,523.27,547.62,213.0,179.7,34.0,34.0
R1_N20,1,20,1000,79484,79484,0.0,79484,79484,0,843.3,84.85,87.57,92.02,200.16,280.81,506.86,526.25,657.53,229.0,195.3,34.0,34.0
R1_N4,1,4,200,15849,15849,0.0,15849,15849,0,164.7,64.92,66.15,68.37,74.46,289.88,505.04,523.89,520.69,125.0,93.9,34.0,34.0
R1_N8,1,8,400,31684,31684,0.0,31684,31684,0,343.3,76.22,78.76,80.51,138.5,274.31,499.86,519.0,574.0,130.0,109.2,34.0,34.0
R2_N12,2,12,600,47591,47591,0.0,47591,47591,0,493.2,94.3,97.12,98.78,153.97,281.27,502.57,519.81,663.6,253.0,232.0,68.0,68.0
R2_N16,2,16,800,63618,63618,0.0,63618,63618,0,674.9,96.26,99.45,101.33,103.6,284.35,505.56,524.39,687.33,311.0,272.4,68.0,68.0
R2_N20,2,20,1000,79484,79484,0.0,79484,79484,0,840.8,98.45,101.56,103.4,107.02,292.76,505.05,523.76,948.27,362.0,320.1,68.0,68.0
R2_N4,2,4,200,15849,15849,0.0,15849,15849,0,164.3,87.1,89.33,90.22,91.73,276.3,501.46,522.52,566.59,214.0,123.4,67.0,60.7
R2_N8,2,8,400,31684,31684,0.0,31684,31684,0,321.7,94.11,92.96,94.71,561.36,277.87,499.65,520.04,859.53,209.0,176.8,68.0,67.8
R4_N12,4,12,600,47591,47567,0.05,47591,47567,0,473.3,107.21,110.16,113.48,366.31,319.13,535.99,561.82,1579.71,382.0,290.6,135.0,134.3
R4_N16,4,16,800,63618,63589,0.05,63618,63589,0,633.8,111.4,116.95,119.83,286.82,354.41,575.65,601.56,6994.17,660.0,534.9,136.0,135.7
R4_N20,4,20,1000,79484,79465,0.02,79484,79465,0,792.8,113.24,116.52,122.83,169.83,368.39,597.77,625.85,7053.02,696.0,507.8,136.0,136.0
R4_N4,4,4,200,15849,15847,0.01,15849,15847,0,157.2,99.6,102.21,103.0,107.44,297.6,516.28,539.82,10263.49,326.0,169.1,135.0,127.6
R4_N8,4,8,400,31684,31684,0.0,31684,31684,0,321.2,103.7,106.55,109.0,110.62,291.17,510.07,533.62,703.52,259.0,220.8,135.0,134.3
