ts,ready_replicas,keda_metric,cpu_pct
10:57:00,1,0,
10:57:05,1,0,
10:57:11,1,50557m,
10:57:17,1,50557m,
10:57:22,1,50557m,
10:57:28,2,176096m,97
10:57:33,2,176096m,97
10:57:39,2,176096m,97
10:57:44,2,183806m,100
10:57:50,2,183806m,100
10:57:55,2,183806m,100
10:58:01,3,219937m,97
10:58:06,3,219937m,97
10:58:12,4,166758m,97
10:58:18,4,166758m,97
10:58:24,4,166758m,97
10:58:29,4,148047m,85
10:58:35,4,148047m,85
10:58:41,4,148047m,85
10:58:46,4,156776m,86
10:58:51,4,156776m,86
10:58:57,4,170060m,75
10:59:03,4,170060m,75
10:59:09,4,170060m,75
10:59:15,4,175075m,76
10:59:21,4,175075m,76
10:59:26,4,175075m,76
10:59:32,4,179182m,76
10:59:37,4,179182m,76
10:59:42,4,185612m,77
10:59:49,4,185612m,77
10:59:54,4,185612m,77
11:00:00,4,188015m,83
11:00:05,4,188015m,83
11:00:11,4,188015m,83
11:00:16,4,191716m,84
11:00:22,4,191716m,84
11:00:27,4,191716m,84
11:00:33,4,184705m,79
11:00:38,4,184705m,79
11:00:44,4,184705m,79
11:00:49,4,154805m,56
11:00:55,4,154805m,56
